area_type,availability,location,size,total_sqft,bath,balcony,price,bhk
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1665.0,3.0,2.0,88.0,3.0
Super built-up  Area,17-Sep,Dasanapura,2 BHK,708.0,2.0,2.0,37.0,2.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1060.0,2.0,2.0,58.06,2.0
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,710.0,6.0,3.0,160.0,6.0
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,1000.0,2.0,2.0,70.0,2.0
Super built-up  Area,18-Dec,Electronic City,2 BHK,1000.0,2.0,1.0,28.88,2.0
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,1450.0,2.0,2.0,70.0,3.0
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,1200.0,4.0,2.0,155.0,4.0
Super built-up  Area,17-Aug,Thanisandra,2 BHK,1296.0,2.0,3.0,80.0,2.0
Super built-up  Area,Ready To Move,Domlur,3 BHK,1540.0,3.0,2.0,90.0,3.0
Plot  Area,Ready To Move,Kengeri,4 Bedroom,2894.0,4.0,1.0,245.0,4.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,1330.0,2.0,1.0,48.0,3.0
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,1200.0,2.0,1.0,65.0,2.0
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,1200.0,3.0,1.0,90.0,3.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2502.0,3.0,3.0,138.0,3.0
Built-up  Area,Ready To Move,Chandapura,2 BHK,650.0,1.0,1.0,17.0,2.0
Plot  Area,Ready To Move,Kothanur,3 Bedroom,2400.0,2.0,1.0,150.0,3.0
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,1007.0,2.0,2.0,43.0,2.0
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,1200.0,2.0,2.0,50.0,2.0
Super built-up  Area,Ready To Move,Peenya,2 BHK,966.0,2.0,2.0,49.9,2.0
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1630.0,2.0,1.0,98.0,3.0
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1640.0,3.0,2.0,229.0,3.0
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,782.0,2.0,2.0,55.68,2.0
Super built-up  Area,19-Apr,Devanahalli,2 BHK,1260.0,2.0,2.0,66.78,2.0
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,1800.0,3.0,3.0,120.0,3.0
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,1413.0,2.0,2.0,75.0,3.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116.0,2.0,1.0,51.91,2.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1530.0,2.0,1.0,45.9,3.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,3700.0,4.0,1.0,225.0,4.0
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,2497.0,3.0,2.0,140.0,3.0
Super built-up  Area,Ready To Move,Kengeri,3 BHK,1540.0,2.0,3.0,64.0,3.0
Super built-up  Area,18-Dec,Thanisandra,3 BHK,1436.0,3.0,1.0,74.75,3.0
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,1100.0,2.0,2.0,75.0,2.0
Plot  Area,Ready To Move,Hennur Road,2 Bedroom,276.0,3.0,3.0,23.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1427.0,3.0,2.0,120.0,3.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2061.0,3.0,1.0,200.0,3.0
Super built-up  Area,18-Mar,Hebbal,4 BHK,5611.5,4.0,0.0,477.0,4.0
Built-up  Area,Ready To Move,Shampura,4 BHK,2650.0,4.0,2.0,150.0,4.0
Super built-up  Area,22-Dec,Devanahalli,3 BHK,1282.0,2.0,2.0,68.52,3.0
Built-up  Area,Ready To Move,Kadugodi,2 BHK,1050.0,2.0,1.0,34.0,2.0
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,1600.0,3.0,2.0,65.0,3.0
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,945.0,2.0,1.0,54.0,2.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1500.0,2.0,1.0,78.0,2.0
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,950.0,7.0,0.0,115.0,7.0
Built-up  Area,Ready To Move,Peenya,3 BHK,1870.0,3.0,3.0,110.0,3.0
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,1600.0,3.0,1.0,75.0,3.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,880.0,1.0,1.0,16.5,2.0
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200.0,4.0,0.0,210.0,4.0
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1535.0,3.0,2.0,83.0,3.0
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950.0,2.0,1.0,57.0,2.0
Super built-up  Area,18-Aug,Devanahalli,2 BHK,1360.0,2.0,1.0,65.0,2.0
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,1073.5,2.0,0.0,54.005,2.0
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,1280.0,3.0,1.0,50.4,3.0
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,1260.0,2.0,2.0,85.05,3.0
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,5000.0,8.0,2.0,250.0,8.0
Super built-up  Area,19-Dec,Yelahanka,5 BHK,3050.0,5.0,1.0,213.0,5.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1563.05,3.0,1.0,105.0,3.0
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,1000.0,2.0,1.0,60.0,2.0
Super built-up  Area,17-Jul,Anandapura,2 BHK,1167.0,2.0,1.0,43.76,2.0
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,4000.0,7.0,2.0,225.0,7.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1828.0,3.0,2.0,110.0,3.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,890.0,2.0,1.0,35.0,2.0
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,1612.0,3.0,3.0,46.74,3.0
Plot  Area,Ready To Move,Dinnur,6 Bedroom,1034.0,5.0,2.0,185.0,6.0
Super built-up  Area,19-Apr,Mysore Road,3 BHK,1710.0,4.0,2.0,91.31,3.0
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,957.0,2.0,1.0,58.0,2.0
Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,1250.0,2.0,3.0,44.0,3.0
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,2795.0,4.0,2.0,235.0,3.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1125.0,2.0,2.0,50.0,2.0
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1020.0,2.0,1.0,30.6,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200.0,2.0,2.0,50.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1735.0,3.0,3.0,135.0,3.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2050.0,3.0,1.0,145.0,3.0
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,3750.0,4.0,0.0,760.0,4.0
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,1350.0,2.0,3.0,48.0,3.0
Super built-up  Area,18-May,Hosa Road,2 BHK,1063.0,2.0,1.0,32.0,2.0
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,1904.0,3.0,1.0,150.0,3.0
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,4200.0,4.0,2.0,420.0,4.0
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,2000.0,3.0,1.0,175.0,3.0
Super built-up  Area,18-Dec,Sarjapur,2 BHK,1242.5,2.0,0.0,43.49,2.0
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,1425.0,2.0,2.0,75.0,3.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1500.0,2.0,1.0,64.5,3.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,1060.0,2.0,1.0,60.0,2.0
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,1470.0,2.0,2.0,70.0,3.0
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,1300.0,6.0,0.0,99.0,6.0
Super built-up  Area,Ready To Move,Attibele,1 BHK,450.0,1.0,1.0,11.0,1.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1152.0,2.0,1.0,64.5,2.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1350.0,2.0,1.0,56.0,3.0
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,1550.0,3.0,3.0,65.0,3.0
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,1500.0,3.0,2.0,100.0,3.0
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,600.0,3.0,2.0,85.0,5.0
Plot  Area,Ready To Move,Nagavara,1 Bedroom,400.0,1.0,0.0,14.0,1.0
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,705.0,1.0,2.0,67.0,1.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,770.0,1.0,1.0,36.0,2.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1242.0,2.0,3.0,51.0,2.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,1700.0,3.0,2.0,155.0,3.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2144.0,3.0,2.0,145.0,3.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1704.0,3.0,2.0,110.0,3.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070.0,2.0,1.0,52.0,2.0
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,1846.0,3.0,2.0,300.0,3.0
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,1340.0,2.0,2.0,55.7,2.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,1025.0,2.0,1.0,46.0,2.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1277.5,2.0,0.0,56.8,2.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200.0,2.0,2.0,52.0,2.0
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,2250.0,4.0,1.0,110.0,4.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,1550.0,2.0,3.0,80.0,3.0
Plot  Area,Ready To Move,Bellandur,4 Bedroom,1200.0,5.0,2.0,325.0,4.0
Plot  Area,Ready To Move,Ejipura,7 Bedroom,1800.0,7.0,1.0,250.0,7.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200.0,2.0,2.0,60.0,2.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1327.0,2.0,2.0,98.0,2.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,1186.0,2.0,2.0,58.0,2.0
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,1783.0,3.0,1.0,115.0,3.0
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,1400.0,3.0,2.0,56.0,3.0
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,980.0,2.0,1.0,48.0,2.0
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1285.0,2.0,2.0,82.0,2.0
Super built-up  Area,Ready To Move,Langford Town,3 BHK,912.0,2.0,1.0,70.0,3.0
Built-up  Area,Ready To Move,Whitefield,2 BHK,1225.0,2.0,2.0,47.6,2.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1075.0,2.0,1.0,53.0,2.0
Built-up  Area,Ready To Move,Kadugodi,3 BHK,1260.0,2.0,2.0,54.0,3.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1282.0,2.0,2.0,48.7,3.0
Super built-up  Area,Ready To Move,Kogilu,3 BHK,1909.0,3.0,2.0,88.0,3.0
Super built-up  Area,Ready To Move,Panathur,2 BHK,1359.0,2.0,1.0,87.0,2.0
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,1207.0,2.0,2.0,43.5,2.0
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,1736.0,6.0,0.0,190.0,4.0
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2850.0,4.0,1.0,428.0,4.0
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,1595.0,3.0,2.0,65.0,3.0
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,1798.0,3.0,2.0,89.0,3.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1475.0,3.0,2.0,78.29,3.0
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,1580.0,3.0,3.0,100.0,3.0
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,1295.0,2.0,1.0,65.0,2.0
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,3600.0,6.0,0.0,141.0,6.0
Super built-up  Area,Ready To Move,Electronic City,1 BHK,589.0,1.0,1.0,27.0,1.0
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,1415.0,3.0,3.0,78.0,3.0
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,1787.0,3.0,2.0,98.29,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1787.0,3.0,2.0,125.0,3.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,1475.0,2.0,3.0,90.0,3.0
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000.0,4.0,1.0,75.5,4.0
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,984.0,2.0,1.0,44.28,2.0
Super built-up  Area,19-Dec,Devanahalli,3 BHK,1630.0,2.0,2.0,74.82,3.0
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,2405.0,4.0,2.0,260.0,3.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080.0,2.0,2.0,72.0,2.0
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,1500.0,2.0,1.0,115.0,2.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1900.0,3.0,2.0,119.0,3.0
Super built-up  Area,19-Aug,Dommasandra,2 BHK,805.0,2.0,1.0,22.14,2.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,1153.0,2.0,2.0,56.4,2.0
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,1148.0,2.0,2.0,60.0,2.0
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,1110.0,2.0,2.0,55.0,2.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,1100.0,2.0,2.0,42.0,2.0
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1290.0,2.0,2.0,110.0,2.0
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,1500.0,2.0,1.0,65.0,3.0
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,1080.0,2.0,2.0,39.0,2.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1933.0,3.0,1.0,129.0,3.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,3500.0,5.0,2.0,150.0,5.0
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,1060.0,2.0,2.0,60.0,2.0
Super built-up  Area,18-Aug,Chandapura,1 BHK,645.0,1.0,1.0,16.45,1.0
Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,2600.0,8.0,2.0,180.0,8.0
Super built-up  Area,18-Sep,Chandapura,1 BHK,645.0,1.0,1.0,16.45,1.0
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,1644.0,3.0,3.0,84.0,3.0
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,1285.0,2.0,3.0,72.5,2.0
Plot  Area,Ready To Move,Electronic City,3 Bedroom,1200.0,3.0,1.0,90.0,3.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,910.0,2.0,1.0,40.0,2.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1577.0,3.0,1.0,70.0,3.0
Plot  Area,17-May,Meenakunte,3 Bedroom,4050.0,3.0,2.0,280.0,3.0
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,2420.0,3.0,2.0,185.0,3.0
Super built-up  Area,Ready To Move,Chandapura,2 BHK,800.0,1.0,1.0,20.0,2.0
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,1060.0,2.0,2.0,55.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270.0,2.0,2.0,93.0,2.0
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,900.0,2.0,2.0,22.5,2.0
Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,1280.0,2.0,1.0,69.0,2.0
Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,1200.0,2.0,0.0,95.0,4.0
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1025.0,2.0,2.0,36.0,2.0
Super built-up  Area,17-Jun,Electronic City,2 BHK,1108.0,2.0,1.0,63.0,2.0
Plot  Area,Ready To Move,MCECHS  layout,5 Bedroom,1200.0,5.0,2.0,170.0,5.0
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,3045.0,3.0,2.0,170.0,3.0
Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,2900.0,3.0,2.0,300.0,4.0
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,1500.0,3.0,2.0,75.5,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,2.0,43.9,2.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,1162.0,2.0,1.0,59.9,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1035.0,2.0,2.0,49.2,2.0
Built-up  Area,Ready To Move,Attibele,4 Bedroom,1600.0,4.0,0.0,52.8,4.0
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,1464.0,3.0,2.0,46.0,3.0
Super built-up  Area,18-Oct,Hennur Road,3 BHK,1866.0,2.0,2.0,61.58,3.0
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,700.0,1.0,1.0,26.0,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1804.0,3.0,2.0,120.0,3.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,913.0,2.0,1.0,32.0,2.0
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,1868.0,3.0,2.0,131.0,3.0
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,883.0,2.0,1.0,45.0,2.0
